;meta[language=en]
; id      |key(hex)|key(str)| text
   1178882|00000000||I'll diddle you with your own dingaling!
   1195089|00000000||For Loth Halfbreed's vandaguild!
   1178884|00000000||You drooping dong!
   1178886|00000000||Come here. Give your goolies a ring!
   1178888|00000000||Bangnummit, that hurts. Near turded myself…
   1178890|00000000||Now! Kerflooey him!
   1178892|00000000||You're as good as becrapped!
   1178894|00000000||Oh mucklenucks!
   1178896|00000000||Watch it!
   1144389|00000000||Hep-shoop, tam tah ree ree, hep-shoop!
   1144387|00000000||Long live Duquessa Anna Henrietta!
   1192767|00000000||A tip of the hat to the tourney's victor.
   1144391|00000000||Now! All together!
   1144395|00000000||You sow-shagging scallywag!
   1144397|00000000||You're refuse! Swine will not eat you!
   1144399|00000000||Trah-la-fudgy-la!
   1144393|00000000||We'll teach you discipline!
   1144401|00000000||You're done for, murderer!
   1144403|00000000||What's the meaning of this? Well, witcher?!
   1144405|00000000||We can do it!
   1144407|00000000||The blade - put it away, witcher.
   1144409|00000000||Fairground trickery!
   1144411|00000000||Your choice. Come here!
   1144413|00000000||That's better!
   1144417|00000000||Yes, witcher?
   1144415|00000000||Talk to the commander.
   1049418|dfa72f66||Worker
    332443|002e3ae9||Book
   1172876|00000000||A real witcher. Fascinating.
   1172874|00000000||To have a specimen like that for an autopsy…
   1172878|00000000||How's your health, witcher?
   1172880|00000000||No aches? No itches?
   1154142|af20f725||Grave Robber
   1175182|00000000||Yes? What is it?
   1175180|00000000||Hm…?
   1193327|00000000||What a story… A wandering witcher slew the Beast…
   1175186|00000000||My, do I ever feel like doing absolutely nothing…
   1175184|00000000||Yaaaawn… Dizzards! Seems I'm still hung over.
    172329|52a3f146||Peasant
   1191255|00000000||Whaddaya reckon - how long'll I have the runs after that roast rat?
   1191257|00000000||Spare a copper or two?
   1191263|00000000||Akh akh akh akh akh akh aaargh akh harrghk ptooey!
   1191259|00000000||Could use a nibble.
   1191261|00000000||Hmmm?
   1191265|00000000||Curses!
   1191267|00000000||Stop scarin' us decent folk!
   1206336|b5e33c40||Guardsman
   1113286|e5a3b8da||Traveler
    577973|b534b7a5||Noblewoman
   1166325|4fb13bfb||Agnetha Skold
   1106251|00000000||A short distance from Castel Ravello, Geralt happened on a notice posted by Jacob, a lumberjack. The logger was in search of someone who had no fear of spells and could thus face a witch. This was the very description of the witcher, no two ways about it, so it was no surprise that our hero took an interest in the notice and decided to visit Jacob.<br>
   1106252|00000000||Geralt found the witch of Lynx Crag and did precisely what the knight from Herrera's tale was said to have done. He bowed before her and asked her for help. Though fussy, the witch seemed appeased and betrayed the manner in which the woman imprisoned in the tree could be freed. The success was bitter-sweet, however, as neither the witch nor the witcher could restore to the woman the life she had lost. Shortly after being freed, her spirit left this world, though it did so at peace with its fate.<br>
   1126011|00000000||Upon Lynx Crag the witcher encountered the witch, but he decided not to seek her aid in freeing the woman enchanted in the tree. Our hero decided he would employ his own devices to lift the curse. He managed to free Daphne's ghost, yet her specter was crazed and filled with pain. Geralt had no choice but to defeat it.<br>
   1155688|00000000||Upon Lynx Crag the witcher encountered the witch and resolved to force her to help him. Defeated in combat, she pledged to free the cursed woman from the tree. Yet her pledge proved a ruse. Upon returning to the tree, the witcher found the lumberjack's cold corpse at its foot. Freed by the witch, the young woman's ghost, crazed with pain, had killed Jacob, then disappeared to parts unknown.
