;meta[language=en]
; id      |key(hex)|key(str)| text
   1121168|00000000||Vimme, could you do me a favor?
   1121861|00000000||Och! Afeared not.
   1121863|00000000||You can't?
   1121865|00000000||Ye see, eheh, I've been told you owe back taxes. And that means I cannae provide ye any services till ye take care o' that wee fuckup.
   1121878|00000000||Agh, fine. I'll just pay it.
   1121875|00000000||Fine. I'll pay the debt.
   1121880|00000000||Don't know that I ever intend to pay that "debt." Definitely not now. So long, Vimme.
   1121876|00000000||Can't do it now.
   1121874|00000000||Geralt… No offense, pal, but if ye dinnae pay those tax arrears, I cannae do shite for ye.
    416092|103ab9ab||Bear
   1118888|00000000||Wizardry!
   1118880|00000000||I live! I die! I live again!
   1118882|00000000||Oh, what a day! What a lovely day!
   1118894|00000000||You shall die! Die!
   1118890|00000000||Sing, brothers! Sing! Sing!
   1118892|00000000||I witness you, brother!
   1118884|00000000||Witness me, brothers!
   1098937|00000000||Well, well. Complications, complications…
   1100514|00000000||You owe us an explanation… Ewald Borsodi.
   1098927|00000000||Think you owe us an explanation… Ewald Borsodi. This family reunion - what's the point?
   1098947|00000000||Generous offer, Horst. Believe I'll take it.
   1100541|00000000||Well, hard not to agree with that. Sorry, Ewald.
   1100545|00000000||You see? All have turned against you. Once again. This time for the last time.
   1100544|00000000||Yet to be seen. I'll not go quietly.
   1098949|00000000||What?! How dare you?!
   1100527|00000000||Hate to be taken for a ride - said that from the start. Should've treated it seriously.
   1137262|00000000||Ugh… Of two evils, guess I prefer you, Horst.
   1098944|00000000||Tempting offer, Horst. I'm in, I'm with you.
   1098951|00000000||A desperate attempt at bribery. Going once, twice, thrice… Hm, no takers, no sale.
   1100529|00000000||Speak for yourself. Temptin' offer. I've succumbed.
   1100531|00000000||You'll pay for that, Quinto. With your head. At them!
   1100535|00000000||Aw, we'll take whatever we please. Once we've ripped your runners from yer arse.
   1100537|00000000||Hallowed words, mate. At 'em!
   1137259|00000000||If that's your attitude, I'll stand with Ewald.
   1098945|00000000||Can't bribe me. I'll stick to Ewald.
   1137250|00000000||Not about to meddle in your grimy matters.
   1137252|00000000||Not about to meddle, especially not in family matters.
   1137255|00000000||Then you'd have done better not to break into my vault.
   1137257|00000000||I fear it's too late to turn neutral. Stand with me, and I shall drape you in gold. Stand against me, and you'll remain here forever.
   1098931|00000000||Revenge. For betrayal. Years of poverty, humiliation.
   1098933|00000000||Father left the auction house to me in his will. Horst cheated me. Had me disinherited.
   1098935|00000000||Anything, everything we earned you squandered on cards and whores! Father didn't see that! I did!
