;meta[language=en]
; id      |key(hex)|key(str)| text
2115494001|        |panel_rpo_name|Resources & Perks overhaul
2115494002|        |panel_combat_rpo_name|Resources & Perks overhaul
2115494003|        |preset_Mods_rpo_name|Resources & Perks overhaul
2115494004|        |preset_Mods_combat_rpo_name|Resources & Perks overhaul
2115494005|        |preset_value_rpo_defaults|Defaults
2115494006|        |option_rpo_mod_enabled|<font color="#30a14e">MOD ENABLED</font>
2115494007|        |option_rpo_perks_enabled|<font color="#8a63d2">Perks:</font> Enabled
2115494008|        |option_rpo_require_perks_equipped|<font color="#8a63d2">          :</font> Need to be equipped
2115494009|        |option_rpo_stamina_regeneration_multiplier|<font color="#ffd33d">Stamina:</font> Regeneration multiplier
2115494010|        |option_rpo_stamina_regeneration_delay_multiplier|<font color="#ffd33d">              :</font> Delay multiplier
2115494011|        |option_rpo_missing_stamina_damage_loss_multiplier|<font color="#ffd33d">              :</font> Damage loss multiplier
2115494012|        |option_rpo_light_attack_stamina_cost_multiplier|<font color="#ffd33d">              :</font> Light attack cost multiplier
2115494013|        |option_rpo_heavy_attack_stamina_cost_multiplier|<font color="#ffd33d">              :</font> Heavy attack cost multiplier
2115494014|        |option_rpo_dodge_stamina_cost_multiplier|<font color="#ffd33d">              :</font> Dodge cost multiplier
2115494015|        |option_rpo_roll_stamina_cost_multiplier|<font color="#ffd33d">              :</font> Roll cost multiplier
2115494016|        |option_rpo_sign_stamina_cost_multiplier|<font color="#ffd33d">              :</font> Sign cost multiplier
2115494017|        |option_rpo_sign_stamina_requirement_multiplier|<font color="#ffd33d">              :</font> Sign requirement multiplier
2115494018|        |option_rpo_mod_initialized|<font color="#ea4a5a">MOD INITIALIZED</font> (reset settings when OFF)
2115494019|        |option_resources_perks_overhaul_initialized|<font color="#30a14e">Resources Perks overhaul</font> initialized
