;meta[language=en]
; id      |key(hex)|key(str)| text
2115494523|cea74430||Fast attack damage increased by $I$%. <br/><br/><font color="#ffd33d">RPO:</font> Adrenaline now increases the stamina cost of all attacks. Heavy attacks now consume adrenaline instead of stamina but their damage continues to scale on your current stamina level
2115494524|1f70c023||Strong attack damage increased by $I$%. <br/><br/><font color="#ffd33d">RPO:</font> Adrenaline now increases the stamina cost of all attacks. Heavy attacks now consume adrenaline instead of stamina but their damage continues to scale on your current stamina level
2115494525|1f70c028||Damage from hits received while dodging is reduced by $I$%. <br/><br/><font color="#ffd33d">RPO:</font> Dodging now requires adrenaline instead of stamina, missing stamina also increases the damage you receive.
2115494526|c1e6a9cb||When Vitality reaches 0, Adrenaline Points (if available) will be consumed to restore Vitality. The amount restored is based on the number of Adrenaline Points used, plus an additional $I$%.<br/><br/><font color="#ffd33d">RPO:</font> Gaining adrenaline heals based on the stamina you currently have. Higher stamina means more healing.
2115494527|c1e6a9cc||When Vitality reaches 0, Adrenaline Points (if available) will be consumed to restore Vitality. The amount restored is based on the number of Adrenaline Points used, plus an additional $I$%.<br/><br/><font color="#ffd33d">RPO:</font> Gaining adrenaline heals based on the stamina you currently have. Higher stamina means more healing.
2115494528|cea74418||When Vitality reaches 0, Adrenaline Points (if available) will be consumed to restore Vitality. The amount restored is based on the number of Adrenaline Points used. <br/><br/><font color="#ffd33d">RPO:</font> Gaining adrenaline heals based on the stamina you currently have. Higher stamina means more healing.
2115494529|163a8e76||Increases Igni Sign intensity by $I$%.<br/><br/><font color="#ffd33d">RPO:</font> When reaching 100% stamina, gain a burst of adrenaline.
2115494530|b1173fc6||Increases Yrden Sign intensity by $I$%.<br/><br/><font color="#ffd33d">RPO:</font> When hit, if it's the first time you've been in the previous 5 seconds window, you gain stamina.
2115494531|71d0c966||Alternate Sign Mode:<br>Maintaining an active shield now drains 50% less Stamina. Stamina drain for blocked attacks unchanged. Damage absorbed by the shield restores player Vitality.<br/><br/><font color="#ffd33d">RPO:</font> While Quen is active resources regeneration and consumption are removed (except for signs) and heavy attacks deal more damage while light attacks deal less damage. Attacking drains the shield's health.
2115494532|71d0c967||Alternate Sign Mode:<br>Maintaining an active shield no longer drains Stamina. Stamina drain for blocked attacks unchanged. Damage absorbed by the shield restores player Vitality.<br/><br/><font color="#ffd33d">RPO:</font> While Quen is active resources regeneration and consumption are removed (except for signs) and heavy attacks deal more damage while light attacks deal less damage. Attacking drains the shield's health.
2115494533|8d17aa9d||Each potion dose imbibed heals $I$% of maximum Vitality.<br/><br/><font color="#ffd33d">RPO:</font> When at maximum adrenaline, consuming stamina restores health. The lower the stamina the higher the heal.
2115494534|8d17aaa1||Blade oils now have $I$% more charges.<br/><br/><font color="#ffd33d">RPO:</font> Fast attacks now use adrenaline instead of stamina and their damage now scales on your adrenaline levels.
2115494535|15dda933||Increases maximum Vitality by $I$% when Toxicity exceeds the safe threshold. <br/><br/><font color="#ffd33d">RPO:</font> As life goes down resources consumption for aggressive actions is more efficient, while resources consumption for defensive actions becomes less efficient.
2115494536|15dda919||Toxicity drops $I$ point(s) per second faster. <br/><br/><font color="#ffd33d">RPO:</font> Toxicity improves overall resources consumption, higher toxicity means a more efficient resources consumption.
